run_index,source_path,generated_at_utc,pred_label,n_particles,mean_super_score,mean_pt,mean_energy,mean_deltaR,particle0_fraction,charged_fraction
3,manifests/history/research_evidence_graph_20260616_042436.json,2026-06-16T04:24:36.833330+00:00,label_Hcc,12,2.8848269979159036,35.060044065229654,35.43248297770818,0.19443640113361058,0.08333333333333333,0.5
3,manifests/history/research_evidence_graph_20260616_042436.json,2026-06-16T04:24:36.833330+00:00,label_Hqql,240,2.818269016345342,46.19747707688256,83.31794985408584,0.19956947881282455,0.08333333333333333,0.4708333333333333
3,manifests/history/research_evidence_graph_20260616_042436.json,2026-06-16T04:24:36.833330+00:00,label_QCD,98,2.8450132754384256,58.56401331166985,85.24434453613904,0.16988334146238615,0.09183673469387756,0.4387755102040816
3,manifests/history/research_evidence_graph_20260616_042436.json,2026-06-16T04:24:36.833330+00:00,label_Tbl,276,2.8474176336025847,40.94619501329335,52.52584207036357,0.3175848696551202,0.08333333333333333,0.38768115942028986
3,manifests/history/research_evidence_graph_20260616_042436.json,2026-06-16T04:24:36.833330+00:00,label_Wqq,36,3.129000359111362,42.48706259853151,65.5003665122721,0.1322679114778166,0.08333333333333333,0.4444444444444444
3,manifests/history/research_evidence_graph_20260616_042436.json,2026-06-16T04:24:36.833330+00:00,label_Zqq,36,2.856406569480896,43.26384805265217,69.26118100351758,0.2171915040032437,0.08333333333333333,0.5
4,manifests/history/research_evidence_graph_20260616_042447.json,2026-06-16T04:24:47.422420+00:00,label_H4q,12,2.9607195456822715,19.02850473069421,20.20707391699155,0.20211258659145917,0.08333333333333333,0.3333333333333333
4,manifests/history/research_evidence_graph_20260616_042447.json,2026-06-16T04:24:47.422420+00:00,label_Hcc,12,2.8848269979159036,35.060044065229654,35.43248297770818,0.19443640113361058,0.08333333333333333,0.5
4,manifests/history/research_evidence_graph_20260616_042447.json,2026-06-16T04:24:47.422420+00:00,label_Hqql,240,2.818269016345342,46.19747707688256,83.31794985408584,0.19956947881282455,0.08333333333333333,0.4708333333333333
4,manifests/history/research_evidence_graph_20260616_042447.json,2026-06-16T04:24:47.422420+00:00,label_QCD,98,2.8450132754384256,58.56401331166985,85.24434453613904,0.16988334146238615,0.09183673469387756,0.4387755102040816
4,manifests/history/research_evidence_graph_20260616_042447.json,2026-06-16T04:24:47.422420+00:00,label_Tbl,276,2.8474176336025847,40.94619501329335,52.52584207036357,0.3175848696551202,0.08333333333333333,0.38768115942028986
4,manifests/history/research_evidence_graph_20260616_042447.json,2026-06-16T04:24:47.422420+00:00,label_Wqq,36,3.129000359111362,42.48706259853151,65.5003665122721,0.1322679114778166,0.08333333333333333,0.4444444444444444
4,manifests/history/research_evidence_graph_20260616_042447.json,2026-06-16T04:24:47.422420+00:00,label_Zqq,36,2.856406569480896,43.26384805265217,69.26118100351758,0.2171915040032437,0.08333333333333333,0.5
5,manifests/history/research_evidence_graph_20260616_042512.json,2026-06-16T04:25:12.140529+00:00,label_H4q,36,3.163347111807929,24.76559756361466,33.89460599753592,0.1738149364334244,0.08333333333333333,0.3888888888888889
5,manifests/history/research_evidence_graph_20260616_042512.json,2026-06-16T04:25:12.140529+00:00,label_Hbb,12,2.9577882885932922,10.505578817172045,10.688816159963608,0.2610916256032675,0.08333333333333333,0.5
5,manifests/history/research_evidence_graph_20260616_042512.json,2026-06-16T04:25:12.140529+00:00,label_Hcc,12,2.8848269979159036,35.060044065229654,35.43248297770818,0.19443640113361058,0.08333333333333333,0.5
5,manifests/history/research_evidence_graph_20260616_042512.json,2026-06-16T04:25:12.140529+00:00,label_Hgg,24,2.938758989175161,23.159650643766813,41.27531157930692,0.19173325120017393,0.08333333333333333,0.375
5,manifests/history/research_evidence_graph_20260616_042512.json,2026-06-16T04:25:12.140529+00:00,label_Hqql,288,2.8415470255745783,46.84043715041534,79.8619825862762,0.20116979947872793,0.08333333333333333,0.4756944444444444
5,manifests/history/research_evidence_graph_20260616_042512.json,2026-06-16T04:25:12.140529+00:00,label_QCD,146,2.879030257055204,54.060895228420094,78.53957726040932,0.14114594202939115,0.08904109589041095,0.4315068493150685
5,manifests/history/research_evidence_graph_20260616_042512.json,2026-06-16T04:25:12.140529+00:00,label_Tbl,300,2.8519025961558024,39.70914139616073,52.51307112554709,0.3196311719665069,0.08333333333333333,0.39
5,manifests/history/research_evidence_graph_20260616_042512.json,2026-06-16T04:25:12.140529+00:00,label_Wqq,60,3.035191492239634,42.44399823126882,57.79015987714131,0.16169083694633282,0.08333333333333333,0.4666666666666667
5,manifests/history/research_evidence_graph_20260616_042512.json,2026-06-16T04:25:12.140529+00:00,label_Zqq,72,2.9576074712806277,45.46277840558669,65.17612624996238,0.17048664915469136,0.08333333333333333,0.4722222222222222
6,manifests/history/research_evidence_graph_20260616_042601.json,2026-06-16T04:26:01.675182+00:00,label_Hqql,599,2.5072382391991717,45.74951431060257,66.53524997865219,0.19352509921113253,0.08347245409015025,0.4524207011686144
6,manifests/history/research_evidence_graph_20260616_042601.json,2026-06-16T04:26:01.675182+00:00,label_Tbl,336,2.518002119447504,45.0248954372115,57.50140246145782,0.32242472046205084,0.08333333333333333,0.375
6,manifests/history/research_evidence_graph_20260616_042601.json,2026-06-16T04:26:01.675182+00:00,label_Wqq,12,2.2187444965044656,55.81353279422075,184.97999354203543,0.23102972627222315,0.08333333333333333,0.3333333333333333
6,manifests/history/research_evidence_graph_20260616_042601.json,2026-06-16T04:26:01.675182+00:00,label_Zqq,12,2.6364502708117166,36.63273994589182,79.75758115450542,0.11565868809234542,0.08333333333333333,0.6666666666666666
7,manifests/history/research_evidence_graph_20260616_042901.json,2026-06-16T04:29:01.473693+00:00,label_Hqql,599,2.5072382391991717,45.74951431060257,66.53524997865219,0.19352509921113253,0.08347245409015025,0.4524207011686144
7,manifests/history/research_evidence_graph_20260616_042901.json,2026-06-16T04:29:01.473693+00:00,label_Tbl,336,2.518002119447504,45.0248954372115,57.50140246145782,0.32242472046205084,0.08333333333333333,0.375
7,manifests/history/research_evidence_graph_20260616_042901.json,2026-06-16T04:29:01.473693+00:00,label_Wqq,12,2.2187444965044656,55.81353279422075,184.97999354203543,0.23102972627222315,0.08333333333333333,0.3333333333333333
7,manifests/history/research_evidence_graph_20260616_042901.json,2026-06-16T04:29:01.473693+00:00,label_Zqq,12,2.6364502708117166,36.63273994589182,79.75758115450542,0.11565868809234542,0.08333333333333333,0.6666666666666666
